view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,condition,response,type,choices,pass,question_order,example1_name,example1_color,example2_name,example2_color,examples,target,example_color,num_counters,pool_size,example_name,example,pid
NA,2496,ButtonsToText,13,148771,0.0-11.0,1,🟢,ME trial,"[""🔵"",""🟢""]",NA,NA,NA,NA,NA,NA,hed 🔵,fep,🔵,0,2,NA,NA,18
NA,3142,ButtonsToText,14,151915,0.0-12.0,1,⚫,ME trial,"[""🟢"",""🟠"",""🟣"",""🔵"",""🔴"",""⚫""]",NA,NA,NA,NA,NA,NA,lug 🟢,fom,🟢,0,6,NA,NA,18
NA,2227,ButtonsToText,15,154145,0.0-13.0,1,🔵,catch trial,"[""🟡"",""🔴"",""⚫"",""🟤"",""🔵"",""🟣""]",FALSE,NA,NA,NA,NA,NA,NA,NA,🟡,NA,NA,tufa,tufa 🟡,18
NA,7975,ButtonsToText,16,162124,0.0-14.0,1,🟡🟡⚫,multipleCircles concat trial,"[""🟡"",""⚫""]",NA,NA,rab,🟡,blicket,⚫,"rab 🟡🟡🟡, blicket ⚫⚫",rab blicket,NA,NA,NA,NA,NA,18
NA,3867,ButtonsToText,17,165995,0.0-15.0,1,🟣,catch trial,"[""🟣"",""⚫"",""🟤"",""🟢"",""🔵"",""🟡""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟣,NA,NA,blicket,blicket 🟣,18
NA,33273,survey-text,18,199274,0.0-16.0,1,"{""strategy"":""Using the corresponding outputs from the instructions when inputting them if they corresponded, intuition if they didn't""}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
NA,2771,survey-multi-choice,19,202047,0.0-17.0,1,"{""effort"":""Moderate effort""}",NA,NA,NA,[0],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"[{""page_index"":0,""viewing_time"":1177}]",1177,instructions,20,203227,0.0-18.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"[{""page_index"":0,""viewing_time"":4445},{""page_index"":1,""viewing_time"":6025},{""page_index"":2,""viewing_time"":8761},{""page_index"":3,""viewing_time"":19607},{""page_index"":4,""viewing_time"":10783},{""page_index"":5,""viewing_time"":15339},{""page_index"":6,""viewing_time"":15719},{""page_index"":7,""viewing_time"":13768}]",94452,instructions,0,94473,0.0-0.0-0.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
NA,114201,ButtonsToText,1,208687,0.0-0.0-1.0,1,🟢🟢🟢🟢,practice trial,"[""🔴"",""🟠"",""🟡"",""🟢""]",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
NA,61619,survey-multi-choice,2,270318,0.0-0.0-2.0,1,"{""commands"":""Nonsense words"",""outputs"":""Colored circles"",""independence"":""They may, but this should be ignored. Word and color meaning changes on every trial"",""main task"":""Given a set of commands and their corresponding outputs, produce the output for a novel command""}",NA,NA,NA,"[0,1,2,3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"[{""page_index"":0,""viewing_time"":3697}]",3698,instructions,3,274037,0.0-1.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
NA,23727,ButtonsToText,4,297770,0.0-2.0,1,🟣⚫⚫,doubleInTest concat trial,"[""⚫"",""🟣""]",NA,NA,lug,⚫,lomp,🟣,"lug ⚫, lomp 🟣",lomp lug lug,NA,NA,NA,NA,NA,52
NA,13989,ButtonsToText,5,311766,0.0-3.0,1,🔵🟤,simple concat trial,"[""🔵"",""🟤""]",NA,NA,tufa,🔵,dax,🟤,"tufa 🔵, dax 🟤",tufa dax,NA,NA,NA,NA,NA,52
NA,29709,ButtonsToText,6,341483,0.0-4.0,1,🟤,ME trial,"[""⚫"",""🟡"",""🟢"",""🟤"",""🟠"",""🔴""]",NA,NA,NA,NA,NA,NA,"fep ⚫, gazzer ⚫, fom ⚫",dax,⚫,2,6,NA,NA,52
NA,39741,ButtonsToText,7,381231,0.0-5.0,1,🟣🟤,"ME_vs_OneToOne trial, simple","[""🟤"",""🟣""]",NA,NA,rish,🟤,rab,🟣,"rish 🟤, rab 🟣",cag,NA,NA,NA,NA,NA,52
NA,7827,ButtonsToText,8,389067,0.0-6.0,1,🟤,catch trial,"[""🟤"",""⚫"",""🔴"",""🟣"",""🟢"",""🟡""]",TRUE,NA,NA,NA,NA,NA,NA,NA,🟤,NA,NA,rab,rab 🟤,52
NA,17240,ButtonsToText,9,406315,0.0-7.0,1,🔴,ME trial,"[""🟣"",""🔴""]",NA,NA,NA,NA,NA,NA,hed 🟣,tufa,🟣,0,2,NA,NA,52
NA,13292,ButtonsToText,10,419614,0.0-8.0,1,🔵,"ME_vs_OneToOne trial, oneDropped","[""🔵"",""⚫""]",NA,NA,zun,🔵,ibb,⚫,"zun 🔵, ibb ⚫",zun zup,NA,NA,NA,NA,NA,52
NA,6172,ButtonsToText,11,425794,0.0-9.0,1,🟣,ME trial,"[""🟢"",""🟣""]",NA,NA,NA,NA,NA,NA,"pab 🟢, jeg 🟢",dax,🟢,1,2,NA,NA,52
